City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
341,Mayumba,GA,68.45,clear sky,-3.432,10.6554,LIKWALE LODGE
342,Half Moon Bay,US,78.12,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
344,Ponta Do Sol,PT,72.23,clear sky,32.6667,-17.1,Hotel do Campo
345,Victoria Point,AU,74.17,clear sky,-27.5833,153.3,Bay Retreat Motel
346,Mpulungu,ZM,68.52,few clouds,-8.7623,31.1141,Chela moche guest house
347,Nador,MA,77.07,clear sky,35.174,-2.9287,Hôtel La Giralda
348,Lata,PT,60.82,scattered clouds,40.1629,-8.3327,Casa Maquia
350,Alice Springs,AU,63.95,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
351,Sao Joao Da Barra,BR,67.17,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
352,Yulara,AU,64.8,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
353,Nishihara,JP,82.06,shower rain,26.1842,127.7558,Minshuku Agaihama
354,San Quintin,MX,69.51,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
356,Meulaboh,ID,82.69,overcast clouds,4.1363,96.1285,Kost Pria
359,Mackenzie,CA,62.82,clear sky,55.2999,-123.1698,Hilton Shop
362,Geraldton,AU,61.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
364,Markova,UA,60.01,overcast clouds,48.6758,24.4138,Vas.VOM
365,Sao Domingos,BR,67.19,clear sky,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
366,Concordia,AR,62.78,clear sky,-31.393,-58.0209,Palmar Hotel Casino
367,Neiafu,TO,83.08,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
368,La Ronge,CA,61.05,few clouds,55.1001,-105.2842,Northland Motor Hotel
369,Port Hedland,AU,80.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
370,Kenai,US,64.02,overcast clouds,60.5544,-151.2583,Aspen Extended Stay Suites
371,Kodinar,IN,83.64,overcast clouds,20.7903,70.7031,residency of N.B vadhel
372,Hualmay,PE,62.6,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
375,Kulhudhuffushi,MV,81.66,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
377,Hamilton,US,74.37,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
378,Requena,ES,68.13,clear sky,39.4883,-1.1004,Hotel Avenida
380,Matadi,CD,67.68,scattered clouds,-5.8167,13.45,Hotel Vivi Palace
384,Brownsville,US,82.9,clear sky,25.9018,-97.4975,University Inn & Suites
385,San Jose,US,81.7,clear sky,37.3394,-121.895,The Westin San Jose
